timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668542.929,-92.773,-75.195,-55.176,-99.609,-74.219,26703.834
1652668542.933,-184.082,146.973,-52.734,-171.387,-228.027,26703.838
1652668542.937,-143.555,133.301,-41.504,-131.836,-257.324,26703.842
1652668542.941,-84.961,-10.254,-48.340,-95.703,-126.953,26703.846
1652668542.945,-140.625,-27.344,-40.039,-152.344,-57.129,26703.850
1652668542.949,-233.887,-127.441,-43.945,-215.820,-71.289,26703.854
1652668542.953,-232.910,-207.031,-43.945,-205.078,-125.000,26703.858
1652668542.956,-153.320,-559.570,-23.438,-148.438,113.281,26703.862
1652668542.960,-147.461,-981.934,-13.184,-151.855,416.016,26703.866
1652668542.964,-230.957,-239.258,-17.578,-215.820,58.105,26703.869
1652668542.968,-240.723,111.816,-38.086,-212.891,-209.961,26703.873
1652668542.972,-184.570,-224.609,-59.082,-173.828,-32.715,26703.877
1652668542.972,-184.570,-224.609,-59.082,-173.828,-32.715,26703.877
1652668542.974,-150.391,92.773,-39.062,-171.387,5.371,26703.893
1652668542.978,-194.336,422.363,-6.836,-202.148,-141.602,26703.897
1652668542.982,-217.285,97.168,-10.254,-188.477,-228.027,26703.901
1652668542.986,-147.949,-50.293,-23.926,-131.348,-145.508,26703.905
1652668542.990,-94.727,253.906,-55.664,-113.281,-41.504,26703.909
1652668542.994,-149.414,132.324,-74.219,-152.344,-51.270,26703.913
1652668542.998,-183.105,-188.477,-61.523,-158.203,-37.109,26703.917
1652668543.001,-113.770,-702.637,-49.805,-94.727,118.652,26703.921
1652668543.005,-17.090,-270.020,-37.598,-38.086,64.941,26703.924
1652668543.009,-23.926,449.707,-28.809,-51.758,-101.562,26703.928
1652668543.013,-94.238,88.379,-49.805,-80.078,-102.539,26703.932
1652668543.017,-64.453,-48.828,-43.457,-32.715,-105.469,26703.936
1652668543.020,19.531,278.809,-37.598,12.207,-118.652,26703.926
1652668543.024,30.762,227.539,-39.551,-1.953,-56.641,26703.930
1652668543.028,-43.945,-358.398,-32.227,-26.855,55.664,26703.934
1652668543.032,-55.176,-363.281,-44.434,-13.184,-35.156,26703.938
1652668543.036,39.551,232.910,-35.156,46.875,-101.074,26703.942
1652668543.040,104.492,70.312,-15.137,89.844,56.641,26703.946
1652668543.044,31.250,-363.770,-28.320,39.062,80.566,26703.950
1652668543.047,-23.926,-378.906,-51.758,0.000,-10.742,26703.954
1652668543.051,45.410,1.953,-47.363,53.711,-25.879,26703.957
1652668543.055,125.488,414.551,-44.434,103.027,-32.227,26703.961
1652668543.059,102.539,-291.016,-35.156,91.797,109.863,26703.965
1652668543.063,38.574,-860.840,-41.992,57.129,200.684,26703.969
1652668543.064,51.270,62.988,-53.711,58.594,-36.133,26703.997
1652668543.068,109.863,318.359,-45.898,92.773,-87.891,26704.001
1652668543.072,85.449,94.727,-37.109,66.895,-37.598,26704.005
1652668543.076,11.719,223.633,-30.762,19.043,-101.074,26704.009
1652668543.080,11.719,110.840,-38.574,31.738,-144.531,26704.013
1652668543.084,81.055,-37.598,-52.246,78.613,-40.527,26704.017
1652668543.088,85.938,-666.992,-59.082,71.777,355.469,26704.021
1652668543.091,2.930,-744.141,-52.246,14.160,308.594,26704.025
1652668543.095,-19.043,157.227,-48.340,1.953,-147.461,26704.029
1652668543.099,48.828,108.887,-56.152,57.129,-126.465,26704.032
1652668543.103,98.145,94.238,-60.547,89.844,-20.996,26704.036
1652668543.107,29.785,384.766,-65.430,30.273,-78.613,26704.040
1652668543.109,-27.344,379.395,-60.059,-1.953,-185.059,26704.029
1652668543.113,24.414,-82.031,-47.363,49.316,-79.102,26704.033
1652668543.117,85.449,-151.855,-53.711,83.496,35.156,26704.037
1652668543.121,46.875,369.141,-44.434,42.480,-42.480,26704.041
1652668543.125,-8.301,304.199,-28.809,15.137,-149.414,26704.045
1652668543.129,-5.859,-314.941,-55.176,31.250,-33.203,26704.049
1652668543.133,58.594,-475.098,-74.219,61.035,130.371,26704.053
1652668543.136,52.734,-83.496,-79.102,40.039,51.758,26704.056
1652668543.140,-39.551,-126.953,-52.734,-18.066,-55.664,26704.060
1652668543.144,-37.109,-307.129,-18.066,-1.465,-60.547,26704.064
1652668543.148,38.086,33.691,-31.250,48.340,-45.898,26704.068
1652668543.152,52.246,289.062,-71.777,35.645,-61.035,26704.072
1652668543.184,-34.668,69.336,-85.449,-35.645,-142.578,26704.102
1652668543.188,-62.500,-597.656,-49.805,-41.992,12.207,26704.106
1652668543.192,17.090,-756.348,-32.227,21.484,184.570,26704.110
1652668543.196,61.523,234.863,-62.500,35.156,-29.297,26704.114
1652668543.200,-0.488,248.047,-64.453,-12.207,-47.852,26704.118
1652668543.204,-66.406,-299.316,-60.547,-41.016,19.043,26704.122
1652668543.208,-30.273,-223.633,-69.336,-6.348,-5.371,26704.126
1652668543.211,52.734,267.578,-54.199,44.434,-47.363,26704.130
1652668543.215,28.320,202.637,-35.156,21.484,-36.621,26704.134
1652668543.219,-55.664,-467.285,-38.086,-28.809,31.738,26704.138
1652668543.223,-64.941,-289.062,-58.105,-42.480,-41.016,26704.141
1652668543.227,20.508,217.773,-51.758,16.602,-81.055,26704.145
1652668543.204,40.527,-1.465,-42.480,34.668,-7.812,26704.119
1652668543.208,-59.082,-229.980,-54.199,-44.434,-3.906,26704.123
1652668543.212,-78.125,219.727,-54.199,-51.270,-136.719,26704.127
1652668543.216,19.531,336.914,-47.852,24.414,-104.492,26704.131
1652668543.220,69.824,160.156,-48.828,43.457,3.418,26704.134
1652668543.224,-22.949,-87.891,-45.410,-26.367,-8.301,26704.138
1652668543.228,-89.355,-138.184,-47.363,-62.988,-117.188,26704.142
1652668543.231,-30.762,-180.664,-60.547,-16.602,-84.961,26704.146
1652668543.235,28.809,-210.449,-89.355,11.230,80.566,26704.150
1652668543.239,-26.855,84.961,-90.820,-35.645,29.785,26704.154
